dept_age_years,manager_experience_level,supervisor_experience_level,reporting_lag_days,training_hours_quarterly,violations_past_3years,remediation_plan_active,executive_support,external_consulting,engagement_programs,onboarding_program,improvement_commitment,digital_systems,external_partnerships,interdept_collaboration_score,resource_availability_score,external_interactions_frequency,risk_exposure_operational,risk_exposure_financial,operational_health_index,reporting_gaps_annual,audit_score_q1,audit_score_q2,compliance_score_final,overall_risk_score,is_high_risk,primary_function_Administrative,primary_function_Compliance,primary_function_Finance,primary_function_Legal,primary_function_Operations,primary_function_Other,primary_function_Technology,primary_function_Unknown,secondary_function_Administrative,secondary_function_Compliance,secondary_function_Finance,secondary_function_Legal,secondary_function_Operations,secondary_function_Other,secondary_function_Technology,secondary_function_Unknown,creation_reason_Expansion,creation_reason_Innovation,creation_reason_Merger,creation_reason_Regulation,creation_reason_Restructuring,creation_reason_Unknown,oversight_body_Board_Committee,oversight_body_Compliance_Officer,oversight_body_External_Auditor,oversight_body_Internal_Audit,oversight_body_Unknown,dept_category_Financial_Reporting,dept_category_Operational_Compliance,dept_category_Risk_Management,division_Corporate_HQ,division_Regional_Operations,division_Unknown,dept_type_Compliance,dept_type_Finance,dept_type_Legal,dept_type_Operations,dept_type_Support,dept_type_Technology,dept_type_Unknown,location_type_International,location_type_Remote,location_type_Suburban,location_type_Unknown,location_type_Urban,team_size_Large,team_size_Medium,team_size_Small,team_size_Unknown,reporting_structure_Autonomous,reporting_structure_Centralized,reporting_structure_Hybrid,reporting_structure_Unknown
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
8.0,3.0,3.0,1.0,40.0,0.0,False,True,False,False,True,True,True,False,3.0,2.0,4.0,1.0,4.0,4.0,10.0,50.0,50.0,50.0,35.0,1.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False
6.0,2.0,2.0,1.0,40.0,0.0,False,True,False,False,True,True,True,False,4.0,3.0,4.0,1.0,2.0,2.0,6.0,65.0,55.0,55.0,18.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
8.0,2.0,1.0,1.0,40.0,3.0,False,True,False,True,True,True,True,True,5.0,4.0,5.0,1.0,2.0,5.0,10.0,50.0,45.0,40.0,55.0,1.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
6.0,4.0,3.0,3.0,40.0,0.0,False,True,False,True,True,True,True,False,5.0,4.0,3.0,1.0,2.0,1.0,2.0,80.0,75.0,80.0,16.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
6.0,3.0,4.0,1.0,20.0,0.0,False,False,False,False,True,True,True,False,3.0,2.0,3.0,1.0,4.0,5.0,12.0,75.0,65.0,70.0,31.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
7.0,2.0,1.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,2.0,5.0,1.0,2.0,5.0,0.0,55.0,50.0,55.0,15.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
6.0,4.0,2.0,1.0,60.0,0.0,True,True,False,True,True,True,True,False,4.0,3.0,4.0,2.0,4.0,4.0,0.0,70.0,65.0,65.0,30.0,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
8.0,1.0,2.0,2.0,40.0,0.0,True,False,False,True,True,True,True,False,5.0,4.0,4.0,1.0,1.0,4.0,0.0,60.0,65.0,65.0,20.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
5.0,1.0,1.0,3.0,20.0,1.0,False,False,False,True,True,True,True,True,5.0,5.0,3.0,1.0,1.0,1.0,2.0,40.0,60.0,45.0,21.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,1.0,1.0,1.0,60.0,0.0,False,True,False,True,True,True,False,True,4.0,3.0,4.0,1.0,1.0,5.0,12.0,60.0,60.0,60.0,16.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
5.0,1.0,2.0,1.0,40.0,0.0,False,False,False,False,False,True,True,False,3.0,3.0,3.0,1.0,2.0,1.0,0.0,70.0,70.0,70.0,15.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,3.0,2.0,1.0,20.0,0.0,False,False,False,False,True,True,True,False,4.0,4.0,4.0,3.0,2.0,3.0,18.0,65.0,65.0,65.0,44.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
6.0,2.0,1.0,1.0,40.0,0.0,False,True,False,False,True,True,False,True,4.0,3.0,5.0,1.0,1.0,5.0,0.0,65.0,60.0,60.0,10.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
8.0,2.0,1.0,1.0,60.0,0.0,False,False,False,True,True,True,True,False,4.0,2.0,4.0,1.0,3.0,2.0,0.0,70.0,75.0,75.0,20.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
5.0,1.0,1.0,1.0,40.0,0.0,True,True,False,False,False,True,True,True,4.0,3.0,4.0,2.0,4.0,5.0,2.0,65.0,55.0,55.0,31.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7.0,2.0,2.0,1.0,40.0,0.0,False,True,False,False,False,True,True,False,5.0,4.0,5.0,1.0,2.0,5.0,2.0,60.0,60.0,70.0,20.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
5.0,1.0,1.0,3.0,20.0,0.0,False,True,False,True,True,True,True,True,4.0,3.0,3.0,1.0,2.0,4.0,6.0,55.0,60.0,65.0,20.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
8.0,3.0,2.0,1.0,20.0,0.0,False,True,False,True,True,True,True,True,5.0,3.0,4.0,1.0,1.0,1.0,4.0,55.0,60.0,70.0,12.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
15.0,3.0,2.0,2.0,19.0,4.0,True,True,False,False,True,False,False,True,2.0,1.0,1.0,2.0,5.0,4.0,22.0,87.7,60.0,82.7,86.0,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False
6.0,3.0,2.0,3.0,20.0,0.0,False,True,False,True,True,True,True,False,3.0,3.0,4.0,3.0,5.0,3.0,16.0,50.0,55.0,60.0,48.0,1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False
13.0,4.0,2.0,2.0,86.0,5.0,True,True,False,True,False,False,True,False,1.0,5.0,2.0,3.0,2.0,1.0,0.0,60.0,100.0,100.0,75.0,1.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
5.0,2.0,2.0,1.0,20.0,0.0,False,True,False,True,True,True,False,False,4.0,3.0,1.0,1.0,1.0,2.0,8.0,70.0,65.0,60.0,14.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7.0,3.0,1.0,2.0,20.0,3.0,True,True,False,True,True,True,True,False,4.0,5.0,3.0,1.0,1.0,3.0,0.0,45.0,45.0,50.0,40.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
8.0,4.0,3.0,2.0,40.0,0.0,False,True,False,False,True,True,True,True,4.0,4.0,5.0,1.0,2.0,2.0,0.0,65.0,70.0,70.0,15.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False
7.0,3.0,3.0,1.0,40.0,0.0,False,True,False,True,True,True,True,True,4.0,3.0,4.0,2.0,3.0,4.0,6.0,55.0,65.0,70.0,28.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
5.0,3.0,4.0,1.0,40.0,0.0,True,True,False,True,False,True,True,False,4.0,4.0,4.0,1.0,1.0,3.0,2.0,65.0,60.0,60.0,20.0,0.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,3.0,1.0,1.0,40.0,0.0,False,False,False,True,True,True,True,True,5.0,3.0,3.0,1.0,1.0,4.0,4.0,40.0,40.0,40.0,12.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
2.0,1.0,2.0,5.0,63.0,2.0,False,True,False,False,False,False,False,True,3.0,4.0,5.0,3.0,2.0,2.0,2.0,74.8,83.2,84.9,48.0,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
5.0,3.0,3.0,1.0,60.0,0.0,True,False,False,False,False,True,True,False,5.0,3.0,2.0,1.0,2.0,5.0,2.0,50.0,45.0,45.0,20.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
6.0,1.0,2.0,2.0,72.0,1.0,True,True,True,True,False,False,False,False,4.0,2.0,3.0,2.0,3.0,1.0,11.0,74.8,78.3,79.0,40.5,1.0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
7.0,1.0,1.0,3.0,60.0,0.0,False,False,False,True,True,False,False,True,1.0,5.0,5.0,4.0,3.0,5.0,12.0,50.0,50.0,55.0,41.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False
7.0,2.0,1.0,1.0,20.0,0.0,False,False,True,True,True,False,True,True,3.0,3.0,2.0,2.0,2.0,5.0,8.0,40.0,40.0,45.0,34.0,1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
5.0,3.0,4.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,3.0,3.0,3.0,1.0,2.0,2.0,2.0,70.0,70.0,70.0,20.0,0.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
8.0,3.0,2.0,1.0,40.0,0.0,False,False,False,True,True,True,True,False,5.0,3.0,4.0,1.0,1.0,4.0,8.0,50.0,55.0,60.0,14.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,1.0,3.0,3.0,40.0,0.0,False,True,False,True,True,True,True,False,5.0,2.0,4.0,1.0,4.0,5.0,2.0,60.0,55.0,55.0,42.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
7.0,2.0,2.0,1.0,12.0,2.0,False,True,False,True,True,False,False,True,2.0,2.0,4.0,4.0,3.0,4.0,6.0,79.1,86.5,88.0,58.0,1.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
7.0,1.0,1.0,1.0,40.0,0.0,False,False,False,False,False,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,0.0,60.0,60.0,60.0,15.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False
8.0,3.0,4.0,2.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,2.0,5.0,3.0,4.0,1.0,6.0,75.0,80.0,80.0,38.0,0.0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False
6.0,4.0,2.0,1.0,40.0,0.0,False,False,False,False,True,True,True,True,4.0,3.0,3.0,1.0,1.0,3.0,0.0,85.0,85.0,90.0,10.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
7.0,3.0,2.0,1.0,40.0,0.0,False,True,False,True,True,True,True,False,4.0,3.0,3.0,1.0,2.0,4.0,2.0,60.0,60.0,65.0,20.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
